name,sex
Aba,F
Abaca,F
Abacan,F
Abay,M
Abayhan,M
Abaza,F
Abaç,F
Abbas,M
Abdal,M
Abdi,M
Abdullah,M
Abdurrahman,M
Abdülazim,M
Abdülaziz,M
Abdülbaki,M
Abdülbari,M
Abdülbasir,M
Abdülbasit,M
Abdülcabbar,M
Abdülcebbar,M
Abdülcelil,M
Abdülcemal,M
Abdülcevat,M
Abdülezel,M
Abdülferit,M
Abdülfettah,M
Abdülgaffar,M
Abdülgaffur,M
Abdülgafur,M
Abdülgani,M
Abdülhadi,M
Abdülhak,M
Abdülhakim,M
Abdülhalik,M
Abdülhalim,M
Abdülhamit,M
Abdülkadir,M
Abdülkahhar,M
Abdülkerim,M
Abdüllâtif,M
Abdülmecit,M
Abdülmelik,M
Abdülmennan,M
Abdülmetin,M
Abdülnasır,M
Abdülvahap,M
Abdülvahit,M
Abdülâlim,M
Abdürrahim,M
Abdürrahman,M
Abdürrauf,M
Abdürrezzak,M
Abdürreşit,M
Abdüssamet,M
Abdüssami,M
Abdüsselâm,M
Abdüssemi,M
Abdüssettar,M
Abdüzzeki,M
Abgül,F
Abher,F
Abid,M
Abide,F
Abidin,M
Abil,M
Abir,M
Abit,M
Abiye,F
Ablak,M
Abraş,M
Abruy,F
Abuzer,M
Abuzettin,M
Abuşka,M
Abıhayat,F
Abır,M
Abıru,F
Aca,M
Acabay,M
Acabey,M
Acahan,M
Acar,U
Acaralp,M
Acarbegüm,F
Acarbey,M
Acarbike,F
Acarbüke,F
Acarer,M
Acarhatun,F
Acarkan,U
Acarkatun,F
Acarman,M
Acarsoy,M
Acartürk,M
Acaröz,M
Acatay,M
Aclan,M
Acun,M
Acunal,M
Acunalan,M
Acunalp,M
Acunbegim,F
Acunbegüm,F
Acunbike,F
Acunbüke,F
Acuner,M
Acungüneş,F
Acunman,M
Acunseven,M
Acunışık,F
Acıdaş,M
Adahan,M
Adak,U
Adal,U
Adalan,M
Adalet,F
Adalettin,M
Adam,M
Adamış,M
Adanan,M
Adanır,U
Adar,U
Adarkan,M
Adasal,M
Aday,M
Adaş,M
Adeviye,F
Adil,M
Adile,F
Adilhan,M
Adlan,M
Adli,M
Adlı,M
Adlığ,M
Adnan,M
Adni,M
Adniye,F
Adsoy,M
Adsız,M
Adviye,F
Adıbelli,U
Adıgün,M
Adıgüzel,U
Adın,M
Adısanlı,M
Adısönmez,M
Adıvar,M
Adıyahşi,M
Adıyaman,M
Adışah,F
Afacan,M
Afak,U
Afer,M
Afet,F
Affan,U
Afi,F
Afif,M
Afife,F
Afitap,F
Afiye,F
Afiyet,F
Afra,F
Afşar,M
Afşin,M
Agil,M
Aguş,F
Agâh,M
Ahen,M
Ahenk,F
Ahfeş,M
Ahi,M
Ahmet,M
Ahsen,U
Ahter,U
Ahu,F
Ahıska,M
Aişe,F
Ajda,F
Ajlan,M
Ak,F
Aka,M
Akabay,M
Akabey,M
Akad,M
Akadlı,M
Akal,M
Akalan,M
Akalp,M
Akaltan,M
Akalın,U
Akan,M
Akanay,U
Akaner,M
Akansu,M
Akant,M
Akanyıldız,M
Akarca,M
